sample,popname,treatment,treatInterpret,ecotype,rankSampleCSV,newname
AA016_16hh,F.SUB,hh,NA,F,1,F.SUB1.hh
AA016_21hh,F.SUB,hh,NA,F,2,F.SUB2.hh
AA016_23hh,F.SUB,hh,NA,F,3,F.SUB3.hh
AA067_28hh,F.DRA,hh,NA,F,4,F.DRA1.hh
AA067_36hh,F.DRA,hh,NA,F,5,F.DRA2.hh
AA067_39hh,F.DRA,hh,NA,F,6,F.DRA3.hh
AA084_45hh,A.VEL,hh,NA,A,7,A.VEL1.hh
AA084_48hh,A.VEL,hh,NA,A,8,A.VEL2.hh
AA084_58hh,A.VEL,hh,NA,A,9,A.VEL3.hh
AA168_75hh,A.TKO,hh,NA,A,10,A.TKO1.hh
AA168_79hh,A.TKO,hh,NA,A,11,A.TKO2.hh
AA168_89hh,A.TKO,hh,NA,A,12,A.TKO3.hh
AA171_95hh,F.HRA,hh,NA,F,13,F.HRA1.hh
AA171_102hh,F.HRA,hh,NA,F,14,F.HRA2.hh
AA171_104hh,F.HRA,hh,NA,F,15,F.HRA3.hh
AA222_125hh,A.LAC,hh,NA,A,16,A.LAC1.hh
AA222_128hh,A.LAC,hh,NA,A,17,A.LAC2.hh
AA222_133hh,A.LAC,hh,NA,A,18,A.LAC3.hh
AA253_140hh,A.SCH,hh,NA,A,19,A.SCH1.hh
AA253_143hh,A.SCH,hh,NA,A,20,A.SCH2.hh
AA253_147hh,A.SCH,hh,NA,A,21,A.SCH3.hh
AA255_159hh,F.ING,hh,NA,F,22,F.ING1.hh
AA255_166hh,F.ING,hh,NA,F,23,F.ING2.hh
AA255_169hh,F.ING,hh,NA,F,24,F.ING3.hh
AA016_175lh,F.SUB,lh,A,F,25,F.SUB1.lh
AA016_179lh,F.SUB,lh,A,F,26,F.SUB2.lh
AA016_186lh,F.SUB,lh,A,F,27,F.SUB3.lh
AA067_188lh,F.DRA,lh,A,F,28,F.DRA1.lh
AA067_197lh,F.DRA,lh,A,F,29,F.DRA2.lh
AA067_202lh,F.DRA,lh,A,F,30,F.DRA3.lh
AA084_206lh,A.VEL,lh,A,A,31,A.VEL1.lh
AA084_207lh,A.VEL,lh,A,A,32,A.VEL2.lh
AA084_215lh,A.VEL,lh,A,A,33,A.VEL3.lh
AA168_235lh,A.TKO,lh,A,A,34,A.TKO1.lh
AA168_239lh,A.TKO,lh,A,A,35,A.TKO2.lh
AA168_248lh,A.TKO,lh,A,A,36,A.TKO3.lh
AA171_255lh,F.HRA,lh,A,F,37,F.HRA1.lh
AA171_262lh,F.HRA,lh,A,F,38,F.HRA2.lh
AA171_263lh,F.HRA,lh,A,F,39,F.HRA3.lh
AA222_283lh,A.LAC,lh,A,A,40,A.LAC1.lh
AA222_288lh,A.LAC,lh,A,A,41,A.LAC2.lh
AA222_293lh,A.LAC,lh,A,A,42,A.LAC3.lh
AA253_300lh,A.SCH,lh,A,A,43,A.SCH1.lh
AA253_306lh,A.SCH,lh,A,A,44,A.SCH2.lh
AA253_309lh,A.SCH,lh,A,A,45,A.SCH3.lh
AA255_321lh,F.ING,lh,A,F,46,F.ING1.lh
AA255_323lh,F.ING,lh,A,F,47,F.ING2.lh
AA255_327lh,F.ING,lh,A,F,48,F.ING3.lh
AA016_335hl,F.SUB,hl,F,F,49,F.SUB1.hl
AA016_339hl,F.SUB,hl,F,F,50,F.SUB2.hl
AA016_344hl,F.SUB,hl,F,F,51,F.SUB3.hl
AA067_347hl,F.DRA,hl,F,F,52,F.DRA1.hl
AA067_355hl,F.DRA,hl,F,F,53,F.DRA2.hl
AA067_359hl,F.DRA,hl,F,F,54,F.DRA3.hl
AA084_363hl,A.VEL,hl,F,A,55,A.VEL1.hl
AA084_368hl,A.VEL,hl,F,A,56,A.VEL2.hl
AA084_376hl,A.VEL,hl,F,A,57,A.VEL3.hl
AA168_395hl,A.TKO,hl,F,A,58,A.TKO1.hl
AA168_399hl,A.TKO,hl,F,A,59,A.TKO2.hl
AA168_407hl,A.TKO,hl,F,A,60,A.TKO3.hl
AA171_415hl,F.HRA,hl,F,F,61,F.HRA1.hl
AA171_419hl,F.HRA,hl,F,F,62,F.HRA2.hl
AA171_424hl,F.HRA,hl,F,F,63,F.HRA3.hl
AA222_443hl,A.LAC,hl,F,A,64,A.LAC1.hl
AA222_447hl,A.LAC,hl,F,A,65,A.LAC2.hl
AA222_452hl,A.LAC,hl,F,A,66,A.LAC3.hl
AA253_460hl,A.SCH,hl,F,A,67,A.SCH1.hl
AA253_463hl,A.SCH,hl,F,A,68,A.SCH2.hl
AA253_467hl,A.SCH,hl,F,A,69,A.SCH3.hl
AA255_480hl,F.ING,hl,F,F,70,F.ING1.hl
AA255_483hl,F.ING,hl,F,F,71,F.ING2.hl
AA255_487hl,F.ING,hl,F,F,72,F.ING3.hl
AA016_496ll,F.SUB,ll,NA,F,73,F.SUB1.ll
AA016_499ll,F.SUB,ll,NA,F,74,F.SUB2.ll
AA016_504ll,F.SUB,ll,NA,F,75,F.SUB3.ll
AA067_508ll,F.DRA,ll,NA,F,76,F.DRA1.ll
AA067_517ll,F.DRA,ll,NA,F,77,F.DRA2.ll
AA067_519ll,F.DRA,ll,NA,F,78,F.DRA3.ll
AA084_523ll,A.VEL,ll,NA,A,79,A.VEL1.ll
AA084_527ll,A.VEL,ll,NA,A,80,A.VEL2.ll
AA084_535ll,A.VEL,ll,NA,A,81,A.VEL3.ll
AA168_556ll,A.TKO,ll,NA,A,82,A.TKO1.ll
AA168_559ll,A.TKO,ll,NA,A,83,A.TKO2.ll
AA168_569ll,A.TKO,ll,NA,A,84,A.TKO3.ll
AA171_575ll,F.HRA,ll,NA,F,85,F.HRA1.ll
AA171_579ll,F.HRA,ll,NA,F,86,F.HRA2.ll
AA171_583ll,F.HRA,ll,NA,F,87,F.HRA3.ll
AA222_603ll,A.LAC,ll,NA,A,88,A.LAC1.ll
AA222_610ll,A.LAC,ll,NA,A,89,A.LAC2.ll
AA222_611ll,A.LAC,ll,NA,A,90,A.LAC3.ll
AA253_619ll,A.SCH,ll,NA,A,91,A.SCH1.ll
AA253_624ll,A.SCH,ll,NA,A,92,A.SCH2.ll
AA253_628ll,A.SCH,ll,NA,A,93,A.SCH3.ll
AA255_639ll,F.ING,ll,NA,F,94,F.ING1.ll
AA255_644ll,F.ING,ll,NA,F,95,F.ING2.ll
AA255_647ll,F.ING,ll,NA,F,96,F.ING3.ll
